GEOID,land_perc,food1,food2,life,mw,cg,metrolink,tract_area,bike_len,bike_cnt,park1,park2,park1ratio,park2ratio,walk,unins
29510106400,1,0,0,69.9,1,0,0,1106529.051,855.2374014,2,0,0,0,0,14.04175,27
29510125600,0.805083046,0,0,73.2,3,0,4,2582190.793,12671.55982,25,39157.102,39157.102,0.015164295,0.015164295,18.77766667,6.7
29510125700,0.857947559,0.000331332,0.000260613,72,0,2,0,1486619.951,2922.391749,8,25647.334,25647.334,0.017252112,0.017252112,16.44466667,18.2
29510123300,1,0.453672347,0.175716187,76.2,0,0,0,918019.537,2305.878671,8,1650.961,1650.961,0.001798394,0.001798394,17.722,8.7
29510124100,1,0,0,67.8,9,1,0,1053137.86,1853.596805,6,0,0,0,0,13.8334,18.8
29510124200,1,0,0,73.1,8,3,0,797513.069,3076.791911,5,0,0,0,0,16.25,20.3
29510124300,1,0,0,75.7,14,3,0,1167894.501,3479.670229,8,104256.755,104256.755,0.089268984,0.089268984,15.75,15
29510123200,1,0.946440073,0.312243208,75.7,3,1,0,1113324.624,4901.706577,13,122230.758,122230.758,0.109788965,0.109788965,15.05533333,8.2
29510124600,0.786394101,0,0,72.1,4,0,0,2736667.689,2459.28009,11,38593.688,38593.688,0.014102439,0.014102439,14.25,16
29510125500,1,0,0,74.46,10,0,2,1099353.614,5125.662361,12,70322.073,70322.073,0.063966746,0.063966746,19.611,7.3
29510108100,0.998358319,0.003075961,0.000766214,69.1,4,0,0,3199160.282,4004.408193,7,25959.279,25959.279,0.008114404,0.008114404,13.77766667,14.1
29510102300,0.962557123,0,0,79.2,0,0,0,1332217.081,1250.88255,3,121040.557,802609.979,0.090856482,0.602461859,13.3335,10.4
29510102400,1,0,0,75,5,0,0,584696.148,2240.364331,7,4640.823,60753.145,0.007937153,0.103905499,14.83333333,13.4
29510103100,0.970941966,0,0,77.1,4,1,0,1223930.926,2946.720738,10,58816.776,361886.035,0.048055633,0.295675211,13.83333333,8.2
29510103400,1,0.270150624,0.05498641,74.3,4,1,0,909283.419,1328.055135,6,0,0,0,0,12.75,8.3
29510102500,1,0,0,77.5,0,0,0,954054.137,2338.778941,6,187615.608,222533.809,0.196650903,0.233250714,15.4165,10.8
