CensusTract,lapop1share,lalowi1share
29510101100,0.066492981,0.013079771
29510101200,0,0
29510101300,0,0
29510101400,0,0
29510101500,0.11925083,0.087221397
29510101800,0.093707349,0.057805015
29510102100,0,0
29510102200,0,0
29510102300,0,0
29510102400,0,0
29510102500,0,0
29510103100,0,0
29510103400,0.270150624,0.05498641
29510103600,0.08746313,0.027079979
29510103700,0,0
29510103800,0.166411973,0.018208951
29510104200,0.384663809,0.075173783
29510104500,0.970812749,0.29907771
29510105198,0.080097444,0.032327179
29510105200,0.456403529,0.144687589
29510105300,0,0
29510105400,0,0
29510105500,0,0
29510106100,0.012441452,0.003386282
29510106200,0.215869279,0.15943829
29510106300,0,0
29510106400,0,0
29510106500,0,0
29510106600,0,0
29510106700,0,0
29510107200,0.824782613,0.414838526
29510107300,0.542789981,0.233110716
29510107400,0.721976367,0.380315637
29510107500,0.904448053,0.520243262
29510107600,0.633293422,0.448943159
29510108100,0.003075961,0.000766214
29510108200,0,0
29510108300,0,0
29510109600,0,0
29510109700,0,0
29510110100,0,0
29510110200,0,0
29510110300,0,0
29510110400,0,0
29510110500,0,0
29510111100,0,0
29510111200,0,0
29510111300,0,0
29510111400,0,0
29510111500,0,0
29510112100,0.012954655,0.005203589
29510112200,0,0
29510112300,0,0
29510112400,0,0
29510113500,0,0
29510114101,0,0
29510114102,0,0
29510114200,0,0
29510114300,0,0
29510115100,0,0
29510115200,0,0
29510115300,0,0
29510115400,0,0
29510115500,0,0
29510115600,0.147555883,0.11859202
29510115700,0,0
29510116100,0,0
29510116200,0,0
29510116301,0,0
29510116302,0,0
29510116400,0,0
29510116500,0,0
29510117100,0.360143911,0.108762261
29510117200,0.02079319,0.009178976
29510117400,0,0
29510118100,0.504141474,0.293039712
29510118400,0.000444508,0.000373587
29510118600,0.109981321,0.054030558
29510119101,0,0
29510119102,0,0
29510119200,0,0
29510119300,0,0
29510120200,0,0
29510121100,0.138607936,0.097436375
29510121200,0,0
29510123100,0.366869911,0.186472978
29510123200,0.946440073,0.312243208
29510123300,0.453672347,0.175716187
29510124100,0,0
29510124200,0,0
29510124300,0,0
29510124600,0,0
29510125500,0,0
29510125600,0,0
29510125700,0.000331332,0.000260613
29510126600,0.026685739,0.015006803
29510126700,0,0
29510126800,0.165455435,0.048552395
29510126900,0.156092054,0.103077431
29510127000,0.500820021,0.365672613
29510127100,0,0
29510127200,0,0
29510127300,0.286851817,0.124753594
29510127400,0.454061361,0.251457035
29510127500,0.101174169,0.045774666
29510127600,0.704900447,0.23803349
